Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1000,30625.94,2706.1616666666664,6,5,27,2,"Credit-Builder Loan, and Home Equity Loan",57,26,1.63,11.0,Bad,1562.91,30.07719135017377,10 Years and 9 Months,Yes,42.941090422469365,77.31427572208112,High_spent_Medium_value_payments,400.36080052211616,2023-05-01
CUS_0x1009,52312.68_,4250.39,6,5,17,4,"Not Specified, Home Equity Loan, Credit-Builder Loan, and Payday Loan",5,18,9.73,4.0,_,202.68,40.286996673783,31 Years and 0 Months,Yes,108.36646712525564,58.66019164829086,High_spent_Medium_value_payments,508.01234122645366,2025-01-01
CUS_0x100b,113781.38999999998,9549.7825,1,4,1,0,,14,8,8.34,4.0,Good,1030.2,28.59294254083936,15 Years and 10 Months,No,0.0,617.0792665202719,High_spent_Small_value_payments,597.8989834797281,2024-03-01
CUS_0x1011,58918.47,5208.8725,3,3,17,3,"Student Loan, Credit-Builder Loan, and Debt Consolidation Loan",27,13,14.42,7.0,Standard,473.14,27.82995907548726,15 Years and 10 Months,Yes,123.43493879634316,383.35084463651407,Low_spent_Medium_value_payments,294.1014665671429,2023-11-01
CUS_0x1013,98620.98,7962.415000000001,3,3,6,3,"Student Loan, Debt Consolidation Loan, and Personal Loan",12,9,1.33,3.0,Good,1233.51,26.52486357896023,17 Years and 10 Months,No,228.018083652734,332.3337079767732,High_spent_Medium_value_payments,485.8897083704929,2023-12-01
CUS_0x1015,46951.02,3725.585,7,4,16,0,,8,9,15.83,9.0,Standard,340.22,38.68223175011704,21 Years and 5 Months,NM,0.0,437.4339945818671,Low_spent_Small_value_payments,225.12450541813288,2023-08-01
CUS_0x1018,61194.81,5014.5675,7,7,23,8,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Not Specified, Student Loan, Home Equity Loan, Personal Loan, and Credit-Builder Loan",19,22,28.63,8.0,Bad,2773.09,27.268457710529688,14 Years and 3 Months,Yes,225.3686913764476,166.53062988488216,High_spent_Medium_value_payments,359.55742873867035,2023-11-01
CUS_0x1026,170614.28,14463.856666666668,2,6,9,2,"Payday Loan, and Auto Loan",0,5,0.73,3.0,Good,849.69,31.75752065713533,20 Years and 8 Months,No,208.90747938201577,184.27787149576235,High_spent_Medium_value_payments,1303.2003157888887,2023-10-01
CUS_0x102d,89064.52,7256.043333333334,5,3,1,1,Mortgage Loan,6,5,6.37,3.0,_,648.36,30.57429935886147,30 Years and 3 Months,No,37.57275058079424,296.09411909412466,High_spent_Medium_value_payments,641.9374636584146,2024-01-01
CUS_0x102e,50807.44,4197.953333333334,8,4,11,4,"Mortgage Loan, Not Specified, Home Equity Loan, and Home Equity Loan",12,9,2.6,4.0,_,869.59,30.311454014148158,22 Years and 10 Months,NM,88.75991924748364,65.27556452739218,High_spent_Medium_value_payments,515.7598495584575,2024-04-01
