loan_id,Customer_ID,loan_start_date,tenure,installment_num,loan_amt,due_amt,paid_amt,overdue_amt,balance,snapshot_date
CUS_0x1000_2023_05_01,CUS_0x1000,2023-05-01,10,5,10000,1000.0,0.0,1000.0,6000.0,2023-10-01
CUS_0x1015_2023_08_01,CUS_0x1015,2023-08-01,10,2,10000,1000.0,1000.0,0.0,8000.0,2023-10-01
CUS_0x1026_2023_10_01,CUS_0x1026,2023-10-01,10,0,10000,0.0,0.0,0.0,10000.0,2023-10-01
CUS_0x1032_2023_08_01,CUS_0x1032,2023-08-01,10,2,10000,1000.0,1000.0,0.0,8000.0,2023-10-01
CUS_0x1037_2023_01_01,CUS_0x1037,2023-01-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2023-10-01
CUS_0x1044_2023_06_01,CUS_0x1044,2023-06-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2023-10-01
CUS_0x104e_2023_06_01,CUS_0x104e,2023-06-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2023-10-01
CUS_0x1056_2023_04_01,CUS_0x1056,2023-04-01,10,6,10000,1000.0,0.0,3000.0,7000.0,2023-10-01
CUS_0x1057_2023_09_01,CUS_0x1057,2023-09-01,10,1,10000,1000.0,1000.0,0.0,9000.0,2023-10-01
CUS_0x105c_2023_06_01,CUS_0x105c,2023-06-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2023-10-01
CUS_0x1069_2023_01_01,CUS_0x1069,2023-01-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2023-10-01
CUS_0x106f_2023_08_01,CUS_0x106f,2023-08-01,10,2,10000,1000.0,1000.0,0.0,8000.0,2023-10-01
CUS_0x108a_2023_05_01,CUS_0x108a,2023-05-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2023-10-01
CUS_0x109b_2023_10_01,CUS_0x109b,2023-10-01,10,0,10000,0.0,0.0,0.0,10000.0,2023-10-01
CUS_0x10aa_2023_02_01,CUS_0x10aa,2023-02-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2023-10-01
CUS_0x10bb_2023_03_01,CUS_0x10bb,2023-03-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2023-10-01
CUS_0x10eb_2023_03_01,CUS_0x10eb,2023-03-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2023-10-01
CUS_0x10ee_2023_06_01,CUS_0x10ee,2023-06-01,10,4,10000,1000.0,0.0,1000.0,7000.0,2023-10-01
CUS_0x10f9_2023_05_01,CUS_0x10f9,2023-05-01,10,5,10000,1000.0,1000.0,0.0,5000.0,2023-10-01
CUS_0x10ff_2023_10_01,CUS_0x10ff,2023-10-01,10,0,10000,0.0,0.0,0.0,10000.0,2023-10-01
CUS_0x1100_2023_10_01,CUS_0x1100,2023-10-01,10,0,10000,0.0,0.0,0.0,10000.0,2023-10-01
CUS_0x1119_2023_05_01,CUS_0x1119,2023-05-01,10,5,10000,1000.0,0.0,4000.0,9000.0,2023-10-01
CUS_0x112f_2023_10_01,CUS_0x112f,2023-10-01,10,0,10000,0.0,0.0,0.0,10000.0,2023-10-01
CUS_0x1130_2023_07_01,CUS_0x1130,2023-07-01,10,3,10000,1000.0,1000.0,0.0,7000.0,2023-10-01
CUS_0x1132_2023_03_01,CUS_0x1132,2023-03-01,10,7,10000,1000.0,0.0,5000.0,8000.0,2023-10-01
CUS_0x1134_2023_10_01,CUS_0x1134,2023-10-01,10,0,10000,0.0,0.0,0.0,10000.0,2023-10-01
CUS_0x1135_2023_03_01,CUS_0x1135,2023-03-01,10,7,10000,1000.0,1000.0,0.0,3000.0,2023-10-01
CUS_0x1136_2023_06_01,CUS_0x1136,2023-06-01,10,4,10000,1000.0,0.0,3000.0,9000.0,2023-10-01
CUS_0x113e_2023_02_01,CUS_0x113e,2023-02-01,10,8,10000,1000.0,0.0,5000.0,7000.0,2023-10-01
CUS_0x1140_2023_02_01,CUS_0x1140,2023-02-01,10,8,10000,1000.0,1000.0,0.0,2000.0,2023-10-01
CUS_0x114a_2023_01_01,CUS_0x114a,2023-01-01,10,9,10000,1000.0,1000.0,0.0,1000.0,2023-10-01
CUS_0x1154_2023_06_01,CUS_0x1154,2023-06-01,10,4,10000,1000.0,1000.0,0.0,6000.0,2023-10-01
